"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/andrearizza/Desktop/react/wehub/src/App.js", "JavaScript", 7, 0, 0, 0, 7
"/Users/andrearizza/Desktop/react/wehub/src/components/MyBox.jsx", "JavaScript JSX", 0, 7, 0, 5, 12
"/Users/andrearizza/Desktop/react/wehub/src/components/MyBox2.jsx", "JavaScript JSX", 0, 130, 0, 6, 136
"/Users/andrearizza/Desktop/react/wehub/src/components/button/EuroButton.jsx", "JavaScript JSX", 0, -4, 0, 2, -2
"/Users/andrearizza/Desktop/react/wehub/src/components/button/NoteButton.jsx", "JavaScript JSX", 0, -4, 0, 1, -3
"/Users/andrearizza/Desktop/react/wehub/src/components/button/PaperButton.jsx", "JavaScript JSX", 0, -3, 0, 5, 2
"/Users/andrearizza/Desktop/react/wehub/src/components/button/PersonInfoButton.jsx", "JavaScript JSX", 0, 5, 0, 3, 8
"/Users/andrearizza/Desktop/react/wehub/src/components/button/SearchButton.jsx", "JavaScript JSX", 0, 6, 0, 3, 9
"/Users/andrearizza/Desktop/react/wehub/src/components/button/VisibilityButton.jsx", "JavaScript JSX", 0, 5, 0, 3, 8
"/Users/andrearizza/Desktop/react/wehub/src/components/searchBox/IntervisteSearchBox.jsx", "JavaScript JSX", 0, 126, 4, 9, 139
"/Users/andrearizza/Desktop/react/wehub/src/components/searchBox/NeedMatchSearchBox.jsx", "JavaScript JSX", 0, 202, 4, 15, 221
"/Users/andrearizza/Desktop/react/wehub/src/pages/AggiungiIncontro.jsx", "JavaScript JSX", 0, 45, 0, 13, 58
"/Users/andrearizza/Desktop/react/wehub/src/pages/DettaglioPagine/Interviste.jsx", "JavaScript JSX", 0, 112, 0, 28, 140
"/Users/andrearizza/Desktop/react/wehub/src/pages/DettaglioPagine/NeedMatchPages.jsx", "JavaScript JSX", 0, 178, 0, 45, 223
"/Users/andrearizza/Desktop/react/wehub/src/pages/ModificaPagine/ModificaNeed.jsx", "JavaScript JSX", 0, 42, 0, 10, 52
"/Users/andrearizza/Desktop/react/wehub/src/pages/Need.jsx", "JavaScript JSX", 0, 46, -10, -10, 26
"/Users/andrearizza/Desktop/react/wehub/src/pages/Prova.jsx", "JavaScript JSX", 0, -15, -1, 8, -8
"/Users/andrearizza/Desktop/react/wehub/src/pages/Recruiting.jsx", "JavaScript JSX", 0, 111, -12, 15, 114
"Total", "-", 7, 989, -15, 161, 1142
