Date : 2023-12-06 19:01:18
Directory : /Users/andrearizza/Desktop/react/wehub/src
Total : 132 files,  11805 codes, 514 comments, 1632 blanks, all 13951 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         96 |      9,729 |        443 |      1,229 |     11,401 |
| CSS            |         29 |      1,929 |          4 |        358 |      2,291 |
| JavaScript     |          6 |        144 |         67 |         44 |        255 |
| XML            |          1 |          3 |          0 |          1 |          4 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |        132 |     11,805 |        514 |      1,632 |     13,951 |
| . (Files)                                                                                        |          9 |        200 |         67 |         54 |        321 |
| components                                                                                       |         49 |      4,987 |        331 |        463 |      5,781 |
| components (Files)                                                                               |         21 |      2,347 |        276 |        203 |      2,826 |
| components/button                                                                                |         15 |        404 |          0 |         62 |        466 |
| components/searchBox                                                                             |         13 |      2,236 |         55 |        198 |      2,489 |
| images                                                                                           |          1 |          3 |          0 |          1 |          4 |
| pages                                                                                            |         46 |      4,704 |        112 |        763 |      5,579 |
| pages (Files)                                                                                    |         18 |      1,864 |        103 |        277 |      2,244 |
| pages/AggiungiPagine                                                                             |         11 |        752 |          0 |        174 |        926 |
| pages/DettaglioPagine                                                                            |          8 |      1,242 |          7 |        167 |      1,416 |
| pages/ModificaPagine                                                                             |          9 |        846 |          2 |        145 |        993 |
| styles                                                                                           |         27 |      1,911 |          4 |        351 |      2,266 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                         | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/andrearizza/Desktop/react/wehub/src/App.css                                               | CSS            |          6 |          0 |          5 |         11 |
| /Users/andrearizza/Desktop/react/wehub/src/App.js                                                | JavaScript     |        102 |         60 |         34 |        196 |
| /Users/andrearizza/Desktop/react/wehub/src/App.test.js                                           | JavaScript     |          7 |          0 |          2 |          9 |
| /Users/andrearizza/Desktop/react/wehub/src/RegisterComponent.jsx                                 | JavaScript JSX |         38 |          0 |          3 |         41 |
| /Users/andrearizza/Desktop/react/wehub/src/components/BasicDataPicker.jsx                        | JavaScript JSX |         48 |          0 |          2 |         50 |
| /Users/andrearizza/Desktop/react/wehub/src/components/BoxUser.jsx                                | JavaScript JSX |        147 |          0 |          5 |        152 |
| /Users/andrearizza/Desktop/react/wehub/src/components/CustomCalendar.jsx                         | JavaScript JSX |         34 |          0 |          6 |         40 |
| /Users/andrearizza/Desktop/react/wehub/src/components/CustomCalendar2.jsx                        | JavaScript JSX |         42 |          0 |          5 |         47 |
| /Users/andrearizza/Desktop/react/wehub/src/components/LoginComponent.jsx                         | JavaScript JSX |         83 |          0 |         11 |         94 |
| /Users/andrearizza/Desktop/react/wehub/src/components/LogoutComponent.jsx                        | JavaScript JSX |         55 |          0 |         11 |         66 |
| /Users/andrearizza/Desktop/react/wehub/src/components/LogoutPopUp.jsx                            | JavaScript JSX |         59 |          0 |          3 |         62 |
| /Users/andrearizza/Desktop/react/wehub/src/components/MyBox.jsx                                  | JavaScript JSX |        207 |          0 |          8 |        215 |
| /Users/andrearizza/Desktop/react/wehub/src/components/MyBox2.jsx                                 | JavaScript JSX |        150 |          0 |          6 |        156 |
| /Users/andrearizza/Desktop/react/wehub/src/components/MyBoxGroups.jsx                            | JavaScript JSX |        163 |        112 |         14 |        289 |
| /Users/andrearizza/Desktop/react/wehub/src/components/MyBoxMIU.jsx                               | JavaScript JSX |        149 |        127 |         12 |        288 |
| /Users/andrearizza/Desktop/react/wehub/src/components/MyButton.jsx                               | JavaScript JSX |         37 |          0 |          3 |         40 |
| /Users/andrearizza/Desktop/react/wehub/src/components/MyDataGrid.jsx                             | JavaScript JSX |         87 |          6 |         16 |        109 |
| /Users/andrearizza/Desktop/react/wehub/src/components/MyPopUp.jsx                                | JavaScript JSX |         88 |          4 |          6 |         98 |
| /Users/andrearizza/Desktop/react/wehub/src/components/RegisterComponent.jsx                      | JavaScript JSX |        140 |          3 |         23 |        166 |
| /Users/andrearizza/Desktop/react/wehub/src/components/SearchBox.jsx                              | JavaScript JSX |        199 |         16 |          8 |        223 |
| /Users/andrearizza/Desktop/react/wehub/src/components/SearchComponent.jsx                        | JavaScript JSX |         68 |          2 |          4 |         74 |
| /Users/andrearizza/Desktop/react/wehub/src/components/Sidebar.jsx                                | JavaScript JSX |        519 |          6 |         40 |        565 |
| /Users/andrearizza/Desktop/react/wehub/src/components/SimpleData.jsx                             | JavaScript JSX |         29 |          0 |          4 |         33 |
| /Users/andrearizza/Desktop/react/wehub/src/components/SimpleTable.jsx                            | JavaScript JSX |         25 |          0 |          3 |         28 |
| /Users/andrearizza/Desktop/react/wehub/src/components/authenticate.jsx                           | JavaScript JSX |         18 |          0 |         13 |         31 |
| /Users/andrearizza/Desktop/react/wehub/src/components/button/BagButton.jsx                       | JavaScript JSX |         34 |          0 |          5 |         39 |
| /Users/andrearizza/Desktop/react/wehub/src/components/button/ClipButton.jsx                      | JavaScript JSX |         34 |          0 |          4 |         38 |
| /Users/andrearizza/Desktop/react/wehub/src/components/button/DeleteButton.jsx                    | JavaScript JSX |         25 |          0 |          3 |         28 |
| /Users/andrearizza/Desktop/react/wehub/src/components/button/EditButton.jsx                      | JavaScript JSX |         37 |          0 |          5 |         42 |
| /Users/andrearizza/Desktop/react/wehub/src/components/button/EuroButton.jsx                      | JavaScript JSX |         25 |          0 |          4 |         29 |
| /Users/andrearizza/Desktop/react/wehub/src/components/button/ListButton.jsx                      | JavaScript JSX |         36 |          0 |          4 |         40 |
| /Users/andrearizza/Desktop/react/wehub/src/components/button/NoteButton.jsx                      | JavaScript JSX |         25 |          0 |          4 |         29 |
